ArgList      | (          -> Expr ArgRest
ArgList      | )          -> ε
ArgList      | id         -> Expr ArgRest
ArgList      | number     -> Expr ArgRest
ArgRest      | )          -> ε
ArgRest      | ,          -> , Expr ArgRest
Assign       | id         -> id = Expr ;
Block        | {          -> { StmtList }
Call         | id         -> id ( ArgList )
ClassDecl    | class      -> class id { MemberList }
Expr         | (          -> Term ExprP
Expr         | id         -> Term ExprP
Expr         | number     -> Term ExprP
ExprP        | )          -> ε
ExprP        | +          -> + Term ExprP
ExprP        | ,          -> ε
ExprP        | -          -> - Term ExprP
ExprP        | ;          -> ε
Factor       | (          -> ( Expr )
Factor       | id         -> id
Factor       | number     -> number
Member       | int        -> VarDecl
Member       | void       -> VarDecl
MemberList   | int        -> Member MemberList
MemberList   | void       -> Member MemberList
MemberList   | }          -> ε
MethodDecl   | int        -> Type id ( ParamList ) Block
MethodDecl   | void       -> Type id ( ParamList ) Block
Param        | int        -> Type id
Param        | void       -> Type id
ParamList    | )          -> ε
ParamList    | int        -> Param ParamRest
ParamList    | void       -> Param ParamRest
ParamRest    | )          -> ε
ParamRest    | ,          -> , Param ParamRest
Prog         | class      -> ClassDecl
Return       | return     -> return Expr ;
Stmt         | id         -> Call ;
Stmt         | int        -> VarDecl
Stmt         | return     -> Return
Stmt         | void       -> VarDecl
StmtList     | id         -> Stmt StmtList
StmtList     | int        -> Stmt StmtList
StmtList     | return     -> Stmt StmtList
StmtList     | void       -> Stmt StmtList
StmtList     | }          -> ε
Term         | (          -> Factor TermP
Term         | id         -> Factor TermP
Term         | number     -> Factor TermP
TermP        | )          -> ε
TermP        | *          -> * Factor TermP
TermP        | +          -> ε
TermP        | ,          -> ε
TermP        | -          -> ε
TermP        | /          -> / Factor TermP
TermP        | ;          -> ε
Type         | int        -> int
Type         | void       -> void
VarDecl      | int        -> Type id ;
VarDecl      | void       -> Type id ;
